task_uid,label,family,k,difficulty,base_uplift,skill_uids,prompt
da76-da7e-65b7-f062,nd-Asm-→I-0,logic,2,1.205,0.6,21f1-3aa7-a74f-b6b6|0ca5-0ca4-56cc-3823,"Using natural deduction, prove R from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: Asm, →I)."
f52f-2ded-2168-67ad,nd-Asm-→I-1,logic,2,0.833,0.6,21f1-3aa7-a74f-b6b6|0ca5-0ca4-56cc-3823,"Using natural deduction, prove R from premises P, Q. Cite the inference rule at each line (rules to use: Asm, →I)."
740d-4b32-3294-b325,nd-Asm-→I-2,logic,2,0.681,0.6,21f1-3aa7-a74f-b6b6|0ca5-0ca4-56cc-3823,"Using natural deduction, prove ~P from premises P|Q, ~P. Cite the inference rule at each line (rules to use: Asm, →I)."
d16e-5fb8-a1b1-e6c3,nd-Asm-→I-3,logic,2,0.988,0.6,21f1-3aa7-a74f-b6b6|0ca5-0ca4-56cc-3823,"Using natural deduction, prove P from premises P, Q. Cite the inference rule at each line (rules to use: Asm, →I)."
fb09-f026-63dc-a392,nd-Asm-→I-4,logic,2,0.348,0.6,21f1-3aa7-a74f-b6b6|0ca5-0ca4-56cc-3823,"Using natural deduction, prove Q from premises P|Q, ~P. Cite the inference rule at each line (rules to use: Asm, →I)."
1068-be9f-2107-be38,nd-Asm-→I-5,logic,2,0.592,0.6,21f1-3aa7-a74f-b6b6|0ca5-0ca4-56cc-3823,"Using natural deduction, prove R from premises P&Q. Cite the inference rule at each line (rules to use: Asm, →I)."
5e64-73e7-df8b-a4d7,nd-Asm-MP-0,logic,2,0.818,0.6,21f1-3aa7-a74f-b6b6|c061-fca8-b5c1-d0b6,"Using natural deduction, prove R from premises P&Q. Cite the inference rule at each line (rules to use: Asm, MP)."
4bb6-b9c7-627f-039d,nd-Asm-MP-1,logic,2,0.644,0.6,21f1-3aa7-a74f-b6b6|c061-fca8-b5c1-d0b6,"Using natural deduction, prove Q from premises P&Q. Cite the inference rule at each line (rules to use: Asm, MP)."
5ed6-07fc-2017-02ef,nd-Asm-MP-2,logic,2,0.966,0.6,21f1-3aa7-a74f-b6b6|c061-fca8-b5c1-d0b6,"Using natural deduction, prove P from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: Asm, MP)."
99a5-20be-613d-82f7,nd-Asm-MP-3,logic,2,0.388,0.6,21f1-3aa7-a74f-b6b6|c061-fca8-b5c1-d0b6,"Using natural deduction, prove Q from premises P, Q. Cite the inference rule at each line (rules to use: Asm, MP)."
9adf-516f-21e9-f1bd,nd-Asm-MP-4,logic,2,0.434,0.6,21f1-3aa7-a74f-b6b6|c061-fca8-b5c1-d0b6,"Using natural deduction, prove Q from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: Asm, MP)."
