,qwen3-0.6b,llama3.2-1b,qwen2.5-1.5b,gemma2-2b,qwen2.5-3b,phi3.5-mini,qwen2.5-7b
draw-detect (Health),0.8,0.6,0.8,1.0,1.0,1.0,0.8
compute-mask-use (Math),0.6,0.8,0.8,1.0,0.6,1.0,1.0
detect-use (Media),0.6,0.8,0.6,0.8,1.0,0.8,1.0
draw (Health),0.8,0.4,1.0,0.8,0.6,1.0,1.0
detect-mask (Energy),0.6,0.6,0.8,0.6,1.0,1.0,1.0
trace-maintain-validate (SW Eng),0.8,0.6,0.8,0.6,0.8,0.8,1.0
read-extract (Office),0.4,0.6,0.8,0.6,1.0,1.0,1.0
read (Math),0.6,0.2,1.0,1.0,0.8,1.0,0.8
read (Energy),0.4,0.4,0.8,1.0,1.0,1.0,0.6
follow-compute (Media),0.2,0.4,0.8,0.8,0.8,1.0,1.0
validate (Robotics),0.6,0.2,0.4,1.0,0.8,0.8,1.0
detect-factor-compute (Health),0.4,0.2,0.6,0.8,0.8,1.0,1.0
detect-model-negate (Science),0.4,0.6,0.4,0.8,0.8,0.6,1.0
mask (SW Eng),0.6,0.4,0.8,0.6,0.4,0.8,1.0
draw-negate-factor (Robotics),0.4,0.8,0.4,0.4,0.6,1.0,1.0
compute-validate (Science),0.4,0.4,0.8,0.8,0.2,0.8,1.0
use-factor (Health),0.4,0.4,0.4,0.6,0.6,1.0,1.0
maintain (Math),0.6,0.6,0.2,0.4,1.0,0.8,0.8
model-extract (Health),0.4,0.2,0.6,0.8,1.0,0.8,0.6
negate-infer-draw (Finance),0.2,0.4,0.8,0.2,0.6,1.0,1.0
compute-extract (Energy),0.4,0.2,0.2,1.0,0.6,0.8,1.0
mask-use (Health),0.2,0.8,0.4,0.6,0.4,1.0,0.8
mask-parse (Math),0.2,0.2,0.4,0.6,0.8,1.0,0.8
validate (Mfg),0.0,0.4,0.4,1.0,0.6,0.6,1.0
use-validate-parse (Health),0.4,0.4,0.2,0.8,0.6,0.8,0.8
use-extract-read (Science),0.2,0.4,0.2,0.6,0.8,0.8,0.6
negate-factor-follow (Office),0.2,0.2,0.4,0.4,0.8,0.6,1.0
mask-infer-parse (Mfg),0.2,0.4,0.4,0.4,0.4,0.8,0.8
use (Cyber),0.0,0.4,0.4,0.4,0.6,0.6,0.8
write (Office),0.0,0.2,0.2,0.6,0.6,0.8,0.8
model (Math),0.4,0.4,0.2,0.4,0.6,0.4,0.8
trace-draw (Office),0.2,0.0,0.0,0.4,0.6,1.0,0.6
mask-negate (SW Eng),0.2,0.2,0.2,0.0,0.6,0.8,0.8
follow-detect-factor (Robotics),0.0,0.0,0.4,0.4,0.6,0.8,0.4
read-redact (Media),0.0,0.0,0.2,0.6,0.4,0.4,0.8
parse-validate-follow (Office),0.0,0.0,0.2,0.2,0.4,0.8,0.8
trace (Science),0.2,0.2,0.2,0.2,0.4,0.8,0.4
redact-validate (Math),0.2,0.4,0.2,0.0,0.4,0.2,0.8
negate-use (Robotics),0.2,0.0,0.0,0.2,0.2,0.4,0.8
mask-parse (Science),0.0,0.0,0.2,0.0,0.2,1.0,0.4
trace (Energy),0.0,0.0,0.2,0.2,0.2,0.4,0.6
use-factor-follow (Science),0.0,0.2,0.2,0.0,0.0,0.4,0.6
use-draw (Energy),0.0,0.0,0.2,0.2,0.2,0.4,0.4
read-use (Health),0.0,0.2,0.2,0.0,0.0,0.6,0.4
validate-parse-write (Health),0.0,0.0,0.2,0.2,0.2,0.2,0.4
read-trace-validate (Cyber),0.2,0.0,0.2,0.2,0.0,0.2,0.4
extract-trace (Energy),0.0,0.2,0.0,0.0,0.2,0.2,0.6
write (Health),0.2,0.0,0.2,0.2,0.2,0.2,0.0
trace (Cyber),0.0,0.0,0.2,0.0,0.2,0.2,0.4
factor-mask-infer (Office),0.0,0.0,0.2,0.0,0.2,0.2,0.4
maintain-redact (Energy),0.0,0.0,0.2,0.0,0.2,0.4,0.2
write-trace (Health),0.0,0.0,0.2,0.0,0.0,0.2,0.4
trace-model (Mfg),0.0,0.0,0.0,0.2,0.2,0.2,0.2
parse-factor (Science),0.0,0.0,0.0,0.0,0.2,0.0,0.6
maintain-follow-negate (Finance),0.0,0.0,0.2,0.0,0.0,0.2,0.4
infer-mask (Energy),0.2,0.0,0.0,0.0,0.0,0.2,0.4
negate-compute-follow (Office),0.0,0.0,0.0,0.0,0.0,0.2,0.6
detect (Office),0.0,0.2,0.0,0.4,0.0,0.2,0.0
write-use-infer (Health),0.0,0.0,0.2,0.0,0.0,0.0,0.4
infer-maintain (Media),0.0,0.0,0.2,0.0,0.2,0.0,0.2
mask-compute-detect (Math),0.0,0.0,0.0,0.0,0.0,0.2,0.4
mask-write (SW Eng),0.0,0.0,0.0,0.0,0.2,0.2,0.2
maintain-negate (Finance),0.0,0.0,0.0,0.0,0.4,0.2,0.0
trace-redact-factor (Cyber),0.2,0.0,0.0,0.0,0.0,0.0,0.2
mask-extract-model (Robotics),0.0,0.2,0.0,0.2,0.0,0.0,0.0
validate-model-follow (Science),0.0,0.0,0.0,0.0,0.2,0.0,0.2
detect-read (Office),0.0,0.0,0.2,0.0,0.0,0.2,0.0
mask-write-follow (Cyber),0.0,0.2,0.0,0.2,0.0,0.0,0.0
infer-compute (Cyber),0.0,0.0,0.0,0.0,0.2,0.0,0.2
trace-negate-redact (Science),0.0,0.0,0.0,0.0,0.2,0.0,0.2
use (Science),0.0,0.0,0.0,0.2,0.0,0.0,0.2
write-read (Energy),0.0,0.0,0.0,0.0,0.0,0.0,0.4
trace-extract (Office),0.0,0.2,0.0,0.0,0.0,0.0,0.2
follow-trace (Cyber),0.0,0.0,0.2,0.0,0.0,0.0,0.0
write-trace-infer (Health),0.0,0.0,0.0,0.0,0.0,0.0,0.2
model-follow (SW Eng),0.0,0.0,0.0,0.0,0.0,0.0,0.2
use (Energy),0.0,0.0,0.0,0.2,0.0,0.0,0.0
trace-read (Mfg),0.0,0.0,0.0,0.0,0.0,0.0,0.0
negate (Mfg),0.0,0.0,0.0,0.0,0.0,0.0,0.0
follow-compute (Health),0.0,0.0,0.0,0.0,0.0,0.0,0.0
compute-redact-factor (Office),0.0,0.0,0.0,0.0,0.0,0.0,0.0
write-compute-negate (Finance),0.0,0.0,0.0,0.0,0.0,0.0,0.0
compute-redact-negate (Media),0.0,0.0,0.0,0.0,0.0,0.0,0.0
